SOUNDS/ru/SYSTEM;0000.wav;0
SOUNDS/ru/SYSTEM;0001.wav;1
SOUNDS/ru/SYSTEM;0002.wav;2
SOUNDS/ru/SYSTEM;0003.wav;3
SOUNDS/ru/SYSTEM;0004.wav;4
SOUNDS/ru/SYSTEM;0005.wav;5
SOUNDS/ru/SYSTEM;0006.wav;6
SOUNDS/ru/SYSTEM;0007.wav;7
SOUNDS/ru/SYSTEM;0008.wav;8
SOUNDS/ru/SYSTEM;0009.wav;9
SOUNDS/ru/SYSTEM;0010.wav;10
SOUNDS/ru/SYSTEM;0011.wav;11
SOUNDS/ru/SYSTEM;0012.wav;12
SOUNDS/ru/SYSTEM;0013.wav;13
SOUNDS/ru/SYSTEM;0014.wav;14
SOUNDS/ru/SYSTEM;0015.wav;15
SOUNDS/ru/SYSTEM;0016.wav;16
SOUNDS/ru/SYSTEM;0017.wav;17
SOUNDS/ru/SYSTEM;0018.wav;18
SOUNDS/ru/SYSTEM;0019.wav;19
SOUNDS/ru/SYSTEM;0020.wav;20
SOUNDS/ru/SYSTEM;0021.wav;21
SOUNDS/ru/SYSTEM;0022.wav;22
SOUNDS/ru/SYSTEM;0023.wav;23
SOUNDS/ru/SYSTEM;0024.wav;24
SOUNDS/ru/SYSTEM;0025.wav;25
SOUNDS/ru/SYSTEM;0026.wav;26
SOUNDS/ru/SYSTEM;0027.wav;27
SOUNDS/ru/SYSTEM;0028.wav;28
SOUNDS/ru/SYSTEM;0029.wav;29
SOUNDS/ru/SYSTEM;0030.wav;30
SOUNDS/ru/SYSTEM;0031.wav;31
SOUNDS/ru/SYSTEM;0032.wav;32
SOUNDS/ru/SYSTEM;0033.wav;33
SOUNDS/ru/SYSTEM;0034.wav;34
SOUNDS/ru/SYSTEM;0035.wav;35
SOUNDS/ru/SYSTEM;0036.wav;36
SOUNDS/ru/SYSTEM;0037.wav;37
SOUNDS/ru/SYSTEM;0038.wav;38
SOUNDS/ru/SYSTEM;0039.wav;39
SOUNDS/ru/SYSTEM;0040.wav;40
SOUNDS/ru/SYSTEM;0041.wav;41
SOUNDS/ru/SYSTEM;0042.wav;42
SOUNDS/ru/SYSTEM;0043.wav;43
SOUNDS/ru/SYSTEM;0044.wav;44
SOUNDS/ru/SYSTEM;0045.wav;45
SOUNDS/ru/SYSTEM;0046.wav;46
SOUNDS/ru/SYSTEM;0047.wav;47
SOUNDS/ru/SYSTEM;0048.wav;48
SOUNDS/ru/SYSTEM;0049.wav;49
SOUNDS/ru/SYSTEM;0050.wav;50
SOUNDS/ru/SYSTEM;0051.wav;51
SOUNDS/ru/SYSTEM;0052.wav;52
SOUNDS/ru/SYSTEM;0053.wav;53
SOUNDS/ru/SYSTEM;0054.wav;54
SOUNDS/ru/SYSTEM;0055.wav;55
SOUNDS/ru/SYSTEM;0056.wav;56
SOUNDS/ru/SYSTEM;0057.wav;57
SOUNDS/ru/SYSTEM;0058.wav;58
SOUNDS/ru/SYSTEM;0059.wav;59
SOUNDS/ru/SYSTEM;0060.wav;60
SOUNDS/ru/SYSTEM;0061.wav;61
SOUNDS/ru/SYSTEM;0062.wav;62
SOUNDS/ru/SYSTEM;0063.wav;63
SOUNDS/ru/SYSTEM;0064.wav;64
SOUNDS/ru/SYSTEM;0065.wav;65
SOUNDS/ru/SYSTEM;0066.wav;66
SOUNDS/ru/SYSTEM;0067.wav;67
SOUNDS/ru/SYSTEM;0068.wav;68
SOUNDS/ru/SYSTEM;0069.wav;69
SOUNDS/ru/SYSTEM;0070.wav;70
SOUNDS/ru/SYSTEM;0071.wav;71
SOUNDS/ru/SYSTEM;0072.wav;72
SOUNDS/ru/SYSTEM;0073.wav;73
SOUNDS/ru/SYSTEM;0074.wav;74
SOUNDS/ru/SYSTEM;0075.wav;75
SOUNDS/ru/SYSTEM;0076.wav;76
SOUNDS/ru/SYSTEM;0077.wav;77
SOUNDS/ru/SYSTEM;0078.wav;78
SOUNDS/ru/SYSTEM;0079.wav;79
SOUNDS/ru/SYSTEM;0080.wav;80
SOUNDS/ru/SYSTEM;0081.wav;81
SOUNDS/ru/SYSTEM;0082.wav;82
SOUNDS/ru/SYSTEM;0083.wav;83
SOUNDS/ru/SYSTEM;0084.wav;84
SOUNDS/ru/SYSTEM;0085.wav;85
SOUNDS/ru/SYSTEM;0086.wav;86
SOUNDS/ru/SYSTEM;0087.wav;87
SOUNDS/ru/SYSTEM;0088.wav;88
SOUNDS/ru/SYSTEM;0089.wav;89
SOUNDS/ru/SYSTEM;0090.wav;90
SOUNDS/ru/SYSTEM;0091.wav;91
SOUNDS/ru/SYSTEM;0092.wav;92
SOUNDS/ru/SYSTEM;0093.wav;93
SOUNDS/ru/SYSTEM;0094.wav;94
SOUNDS/ru/SYSTEM;0095.wav;95
SOUNDS/ru/SYSTEM;0096.wav;96
SOUNDS/ru/SYSTEM;0097.wav;97
SOUNDS/ru/SYSTEM;0098.wav;98
SOUNDS/ru/SYSTEM;0099.wav;99
SOUNDS/ru/SYSTEM;0100.wav;100
SOUNDS/ru/SYSTEM;0101.wav;200
SOUNDS/ru/SYSTEM;0102.wav;300
SOUNDS/ru/SYSTEM;0103.wav;400
SOUNDS/ru/SYSTEM;0104.wav;500
SOUNDS/ru/SYSTEM;0105.wav;600
SOUNDS/ru/SYSTEM;0106.wav;700
SOUNDS/ru/SYSTEM;0107.wav;800
SOUNDS/ru/SYSTEM;0108.wav;900
SOUNDS/ru/SYSTEM;0109.wav;тысяча
SOUNDS/ru/SYSTEM;0110.wav;и
SOUNDS/ru/SYSTEM;0111.wav;минус
SOUNDS/ru/SYSTEM;0200.wav;тысяча
SOUNDS/ru/SYSTEM;0201.wav;тысячи
SOUNDS/ru/SYSTEM;0202.wav;тысяч
SOUNDS/ru/SYSTEM;0165.wav;ровно
SOUNDS/ru/SYSTEM;0166.wav;и одна десятая
SOUNDS/ru/SYSTEM;0167.wav;и две десятых
SOUNDS/ru/SYSTEM;0168.wav;и три десятых
SOUNDS/ru/SYSTEM;0169.wav;и четыре десятых
SOUNDS/ru/SYSTEM;0170.wav;и пять десятых
SOUNDS/ru/SYSTEM;0171.wav;и шесть десятых
SOUNDS/ru/SYSTEM;0172.wav;и семь десятых
SOUNDS/ru/SYSTEM;0173.wav;и восемь десятых
SOUNDS/ru/SYSTEM;0174.wav;и девять десятых
SOUNDS/ru/SYSTEM;0180.wav;одна
SOUNDS/ru/SYSTEM;0181.wav;одиннадцать
SOUNDS/ru/SYSTEM;0182.wav;двадцать одна
SOUNDS/ru/SYSTEM;0183.wav;тридцать одна
SOUNDS/ru/SYSTEM;0184.wav;сорок одна
SOUNDS/ru/SYSTEM;0185.wav;пятьдесят одна
SOUNDS/ru/SYSTEM;0186.wav;шестьдесят одна
SOUNDS/ru/SYSTEM;0187.wav;семьдесят одна
SOUNDS/ru/SYSTEM;0188.wav;восемьдесят одна
SOUNDS/ru/SYSTEM;0189.wav;девяносто одна
SOUNDS/ru/SYSTEM;0190.wav;две
SOUNDS/ru/SYSTEM;0191.wav;двенадцать
SOUNDS/ru/SYSTEM;0192.wav;двадцать две
