SYSTEM|0000|0
SYSTEM|0001|1
SYSTEM|0002|2
SYSTEM|0003|3
SYSTEM|0004|4
SYSTEM|0005|5
SYSTEM|0006|6
SYSTEM|0007|7
SYSTEM|0008|8
SYSTEM|0009|9
SYSTEM|0010|10
SYSTEM|0011|11
SYSTEM|0012|12
SYSTEM|0013|13
SYSTEM|0014|14
SYSTEM|0015|15
SYSTEM|0016|16
SYSTEM|0017|17
SYSTEM|0018|18
SYSTEM|0019|19
SYSTEM|0020|20
SYSTEM|0021|21
SYSTEM|0022|22
SYSTEM|0023|23
SYSTEM|0024|24
SYSTEM|0025|25
SYSTEM|0026|26
SYSTEM|0027|27
SYSTEM|0028|28
SYSTEM|0029|29
SYSTEM|0030|30
SYSTEM|0031|31
SYSTEM|0032|32
SYSTEM|0033|33
SYSTEM|0034|34
SYSTEM|0035|35
SYSTEM|0036|36
SYSTEM|0037|37
SYSTEM|0038|38
SYSTEM|0039|39
SYSTEM|0040|40
SYSTEM|0041|41
SYSTEM|0042|42
SYSTEM|0043|43
SYSTEM|0044|44
SYSTEM|0045|45
SYSTEM|0046|46
SYSTEM|0047|47
SYSTEM|0048|48
SYSTEM|0049|49
SYSTEM|0050|50
SYSTEM|0051|51
SYSTEM|0052|52
SYSTEM|0053|53
SYSTEM|0054|54
SYSTEM|0055|55
SYSTEM|0056|56
SYSTEM|0057|57
SYSTEM|0058|58
SYSTEM|0059|59
SYSTEM|0060|60
SYSTEM|0061|61
SYSTEM|0062|62
SYSTEM|0063|63
SYSTEM|0064|64
SYSTEM|0065|65
SYSTEM|0066|66
SYSTEM|0067|67
SYSTEM|0068|68
SYSTEM|0069|69
SYSTEM|0070|70
SYSTEM|0071|71
SYSTEM|0072|72
SYSTEM|0073|73
SYSTEM|0074|74
SYSTEM|0075|75
SYSTEM|0076|76
SYSTEM|0077|77
SYSTEM|0078|78
SYSTEM|0079|79
SYSTEM|0080|80
SYSTEM|0081|81
SYSTEM|0082|82
SYSTEM|0083|83
SYSTEM|0084|84
SYSTEM|0085|85
SYSTEM|0086|86
SYSTEM|0087|87
SYSTEM|0088|88
SYSTEM|0089|89
SYSTEM|0090|90
SYSTEM|0091|91
SYSTEM|0092|92
SYSTEM|0093|93
SYSTEM|0094|94
SYSTEM|0095|95
SYSTEM|0096|96
SYSTEM|0097|97
SYSTEM|0098|98
SYSTEM|0099|99
SYSTEM|0100|100
SYSTEM|0101|200
SYSTEM|0102|300
SYSTEM|0103|400
SYSTEM|0104|500
SYSTEM|0105|600
SYSTEM|0106|700
SYSTEM|0107|800
SYSTEM|0108|900
SYSTEM|0109|1000
SYSTEM|0110|и
SYSTEM|0111|минус
SYSTEM|0112|
SYSTEM|0165|ровно
SYSTEM|0166|и одна десятая
SYSTEM|0167|и две десятых
SYSTEM|0168|и три десятых
SYSTEM|0169|и четыре десятых
SYSTEM|0170|и пять десятых
SYSTEM|0171|и шесть десятых
SYSTEM|0172|и семь десятых
SYSTEM|0173|и восемь десятых
SYSTEM|0174|и девять десятых
SYSTEM|volt0|вольт
